Best parameters set found on development set:
-0.24107 (+/-0.015) for {'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 8, 'p': 2, 'weights': 'uniform'}
-0.28293 (+/-0.028) for {'algorithm': 'ball_tree', 'leaf_size': 7, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}
-0.28293 (+/-0.028) for {'algorithm': 'ball_tree', 'leaf_size': 8, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}
-0.28293 (+/-0.028) for {'algorithm': 'ball_tree', 'leaf_size': 9, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}
-0.28293 (+/-0.028) for {'algorithm': 'ball_tree', 'leaf_size': 10, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}
-0.28293 (+/-0.028) for {'algorithm': 'ball_tree', 'leaf_size': 11, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}
-0.28293 (+/-0.028) for {'algorithm': 'ball_tree', 'leaf_size': 12, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}
-0.28293 (+/-0.028) for {'algorithm': 'ball_tree', 'leaf_size': 13, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}
-0.28293 (+/-0.028) for {'algorithm': 'ball_tree', 'leaf_size': 14, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}
-0.28293 (+/-0.028) for {'algorithm': 'ball_tree', 'leaf_size': 15, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}
-0.28293 (+/-0.028) for {'algorithm': 'ball_tree', 'leaf_size': 16, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}
-0.28293 (+/-0.028) for {'algorithm': 'ball_tree', 'leaf_size': 17, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}
-0.28293 (+/-0.028) for {'algorithm': 'ball_tree', 'leaf_size': 18, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}
-0.28293 (+/-0.028) for {'algorithm': 'ball_tree', 'leaf_size': 19, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}
-0.28293 (+/-0.028) for {'algorithm': 'kd_tree', 'leaf_size': 1, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}
-0.28293 (+/-0.028) for {'algorithm': 'kd_tree', 'leaf_size': 2, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}
-0.28293 (+/-0.028) for {'algorithm': 'kd_tree', 'leaf_size': 3, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}
-0.28293 (+/-0.028) for {'algorithm': 'kd_tree', 'leaf_size': 4, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}
-0.28293 (+/-0.028) for {'algorithm': 'kd_tree', 'leaf_size': 5, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}
-0.28293 (+/-0.028) for {'algorithm': 'kd_tree', 'leaf_size': 6, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}
-0.28293 (+/-0.028) for {'algorithm': 'kd_tree', 'leaf_size': 7, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}
-0.28293 (+/-0.028) for {'algorithm': 'kd_tree', 'leaf_size': 8, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}
-0.28293 (+/-0.028) for {'algorithm': 'kd_tree', 'leaf_size': 9, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}
-0.28293 (+/-0.028) for {'algorithm': 'kd_tree', 'leaf_size': 10, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}
-0.28293 (+/-0.028) for {'algorithm': 'kd_tree', 'leaf_size': 11, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}
-0.28293 (+/-0.028) for {'algorithm': 'kd_tree', 'leaf_size': 12, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}
-0.28293 (+/-0.028) for {'algorithm': 'kd_tree', 'leaf_size': 13, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}
-0.28293 (+/-0.028) for {'algorithm': 'kd_tree', 'leaf_size': 14, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}
-0.28293 (+/-0.028) for {'algorithm': 'kd_tree', 'leaf_size': 15, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}
-0.28293 (+/-0.028) for {'algorithm': 'kd_tree', 'leaf_size': 16, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}
-0.28293 (+/-0.028) for {'algorithm': 'kd_tree', 'leaf_size': 17, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}
-0.28293 (+/-0.028) for {'algorithm': 'kd_tree', 'leaf_size': 18, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}
-0.28293 (+/-0.028) for {'algorithm': 'kd_tree', 'leaf_size': 19, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}
-0.28550 (+/-0.027) for {'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'auto', 'leaf_size': 2, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'auto', 'leaf_size': 3, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'auto', 'leaf_size': 4, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'auto', 'leaf_size': 5, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'auto', 'leaf_size': 6, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'auto', 'leaf_size': 7, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'auto', 'leaf_size': 8, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'auto', 'leaf_size': 9, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'auto', 'leaf_size': 11, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'auto', 'leaf_size': 12, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'auto', 'leaf_size': 13, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'auto', 'leaf_size': 14, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'auto', 'leaf_size': 15, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'auto', 'leaf_size': 16, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'auto', 'leaf_size': 17, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'auto', 'leaf_size': 18, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'auto', 'leaf_size': 19, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'ball_tree', 'leaf_size': 2, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'ball_tree', 'leaf_size': 3, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'ball_tree', 'leaf_size': 4, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'ball_tree', 'leaf_size': 5, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'ball_tree', 'leaf_size': 6, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'ball_tree', 'leaf_size': 7, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'ball_tree', 'leaf_size': 8, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'ball_tree', 'leaf_size': 9, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'ball_tree', 'leaf_size': 10, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'ball_tree', 'leaf_size': 11, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'ball_tree', 'leaf_size': 12, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'ball_tree', 'leaf_size': 13, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'ball_tree', 'leaf_size': 14, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'ball_tree', 'leaf_size': 15, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'ball_tree', 'leaf_size': 16, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'ball_tree', 'leaf_size': 17, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'ball_tree', 'leaf_size': 18, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'ball_tree', 'leaf_size': 19, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'kd_tree', 'leaf_size': 1, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'kd_tree', 'leaf_size': 2, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'kd_tree', 'leaf_size': 3, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'kd_tree', 'leaf_size': 4, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'kd_tree', 'leaf_size': 5, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'kd_tree', 'leaf_size': 6, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'kd_tree', 'leaf_size': 7, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'kd_tree', 'leaf_size': 8, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'kd_tree', 'leaf_size': 9, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'kd_tree', 'leaf_size': 10, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'kd_tree', 'leaf_size': 11, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'kd_tree', 'leaf_size': 12, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'kd_tree', 'leaf_size': 13, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'kd_tree', 'leaf_size': 14, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'kd_tree', 'leaf_size': 15, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'kd_tree', 'leaf_size': 16, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'kd_tree', 'leaf_size': 17, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'kd_tree', 'leaf_size': 18, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.28550 (+/-0.027) for {'algorithm': 'kd_tree', 'leaf_size': 19, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
-0.29084 (+/-0.012) for {'algorithm': 'auto', 'leaf_size': 2, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'auto', 'leaf_size': 3, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'auto', 'leaf_size': 4, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'auto', 'leaf_size': 5, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'auto', 'leaf_size': 6, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'auto', 'leaf_size': 7, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'auto', 'leaf_size': 8, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'auto', 'leaf_size': 9, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'auto', 'leaf_size': 11, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'auto', 'leaf_size': 12, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'auto', 'leaf_size': 13, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'auto', 'leaf_size': 14, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'ball_tree', 'leaf_size': 2, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'ball_tree', 'leaf_size': 3, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'ball_tree', 'leaf_size': 4, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'ball_tree', 'leaf_size': 5, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'ball_tree', 'leaf_size': 6, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'ball_tree', 'leaf_size': 7, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'ball_tree', 'leaf_size': 8, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'ball_tree', 'leaf_size': 9, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'ball_tree', 'leaf_size': 10, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'ball_tree', 'leaf_size': 11, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'ball_tree', 'leaf_size': 12, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'ball_tree', 'leaf_size': 13, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'ball_tree', 'leaf_size': 14, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'ball_tree', 'leaf_size': 15, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'ball_tree', 'leaf_size': 16, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'ball_tree', 'leaf_size': 17, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'ball_tree', 'leaf_size': 18, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'ball_tree', 'leaf_size': 19, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'kd_tree', 'leaf_size': 2, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'kd_tree', 'leaf_size': 3, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'kd_tree', 'leaf_size': 4, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'kd_tree', 'leaf_size': 5, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'kd_tree', 'leaf_size': 6, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'kd_tree', 'leaf_size': 7, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'kd_tree', 'leaf_size': 8, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'kd_tree', 'leaf_size': 9, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'kd_tree', 'leaf_size': 10, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'kd_tree', 'leaf_size': 11, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'kd_tree', 'leaf_size': 12, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'kd_tree', 'leaf_size': 13, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29084 (+/-0.012) for {'algorithm': 'kd_tree', 'leaf_size': 14, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29086 (+/-0.012) for {'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29086 (+/-0.012) for {'algorithm': 'auto', 'leaf_size': 15, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29086 (+/-0.012) for {'algorithm': 'auto', 'leaf_size': 16, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29086 (+/-0.012) for {'algorithm': 'auto', 'leaf_size': 17, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29086 (+/-0.012) for {'algorithm': 'auto', 'leaf_size': 18, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29086 (+/-0.012) for {'algorithm': 'auto', 'leaf_size': 19, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29086 (+/-0.012) for {'algorithm': 'kd_tree', 'leaf_size': 1, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29086 (+/-0.012) for {'algorithm': 'kd_tree', 'leaf_size': 15, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29086 (+/-0.012) for {'algorithm': 'kd_tree', 'leaf_size': 16, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29086 (+/-0.012) for {'algorithm': 'kd_tree', 'leaf_size': 17, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29086 (+/-0.012) for {'algorithm': 'kd_tree', 'leaf_size': 18, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29086 (+/-0.012) for {'algorithm': 'kd_tree', 'leaf_size': 19, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
-0.29305 (+/-0.010) for {'algorithm': 'auto', 'leaf_size': 2, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'auto', 'leaf_size': 3, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'auto', 'leaf_size': 4, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'auto', 'leaf_size': 5, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'auto', 'leaf_size': 6, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'auto', 'leaf_size': 7, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'auto', 'leaf_size': 8, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'auto', 'leaf_size': 9, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'auto', 'leaf_size': 11, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'auto', 'leaf_size': 12, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'auto', 'leaf_size': 13, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'auto', 'leaf_size': 14, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'ball_tree', 'leaf_size': 2, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'ball_tree', 'leaf_size': 3, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'ball_tree', 'leaf_size': 4, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'ball_tree', 'leaf_size': 5, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'ball_tree', 'leaf_size': 6, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'ball_tree', 'leaf_size': 7, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'ball_tree', 'leaf_size': 8, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'ball_tree', 'leaf_size': 9, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'ball_tree', 'leaf_size': 10, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'ball_tree', 'leaf_size': 11, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'ball_tree', 'leaf_size': 12, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'ball_tree', 'leaf_size': 13, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'ball_tree', 'leaf_size': 14, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'ball_tree', 'leaf_size': 15, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'ball_tree', 'leaf_size': 16, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'ball_tree', 'leaf_size': 17, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'ball_tree', 'leaf_size': 18, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'ball_tree', 'leaf_size': 19, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'kd_tree', 'leaf_size': 2, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'kd_tree', 'leaf_size': 3, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'kd_tree', 'leaf_size': 4, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'kd_tree', 'leaf_size': 5, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'kd_tree', 'leaf_size': 6, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'kd_tree', 'leaf_size': 7, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'kd_tree', 'leaf_size': 8, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'kd_tree', 'leaf_size': 9, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'kd_tree', 'leaf_size': 10, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'kd_tree', 'leaf_size': 11, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'kd_tree', 'leaf_size': 12, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'kd_tree', 'leaf_size': 13, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29305 (+/-0.010) for {'algorithm': 'kd_tree', 'leaf_size': 14, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29307 (+/-0.010) for {'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29307 (+/-0.010) for {'algorithm': 'auto', 'leaf_size': 15, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
-0.29307 (+/-0.010) for {'algorithm': 'auto', 'leaf_size': 16, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
